taxon_id	site_id	prod_mg_m_y	rank
Tubificid 1	hver	8916.88785937745	1
Nais spp.	hver	6962.9357246444	2
Cricotopus sylvestris	hver	2744.58854796311	3
Radix balthica	hver	1302.89425749104	4
Ostracoda	hver	2.37669235672097	5
Midge indet.	hver	0.791570622755376	6
Limnophora riparia	hver	0.601470580712247	7
Lumb 3	hver	0.0498789061925625	8
Simulium vittatum	hver	0.0440197495823384	9
Sperchon glandulosus	hver	0.0408388649340707	10
Oribatid 1	hver	0.0017197349306303	11
Thysanoptera	hver	0.000495445906706902	12
Hirudinidae	hver	0.000304967877220473	13
Nematoda	hver	0.000231907422638582	14
Radix balthica	st6	2511.52833407746	1
Macropelopia	st6	438.997554804912	2
Eukiefferiella	st6	196.214188664031	3
Simulium vittatum	st6	189.824717694008	4
Nais spp.	st6	184.153453868399	5
Chaetocladius dentiforceps	st6	181.74986279127	6
Orthocladius oblidens	st6	72.7962783216381	7
Micropsectra sp.	st6	47.1497596050676	8
Lumbricidae	st6	40.2189967385509	9
Chaetocladius dentiforceps	st6	27.660952114586	10
Thienemanniella sp.	st6	23.6436796418502	11
Sperchon glandulosus	st6	13.5187750756934	12
Cricotopus sylvestris	st6	11.320434635774	13
Oribatid 1	st6	4.63884371566445	14
Corynoneura sp.	st6	4.34210131976453	15
Antocha sp.	st6	4.02736632826789	16
Tubificid 1	st6	3.12291137068173	17
Midge indet.	st6	2.90761571881526	18
Ostracoda	st6	2.6537654900253	19
Galba trunculata	st6	1.4883384914948	20
Limnophora riparia	st6	0.837500905043836	21
Midge indet.	st6	0.765629909134653	22
Rheocricotopus effusus	st6	0.658378423051846	23
Diamesa bertrami	st6	0.517792577962669	24
Orthocladius	st6	0.455845941925954	25
Tub. 2	st6	0.221329529704994	26
Potamophylax cingulatus	st6	0.172795898512072	27
Oribatid 2	st6	0.153436224192167	28
Ephydridae sp.	st6	0.146415012423452	29
Simulium vittatum	st6	0.057266006866204	30
Nematoda	st6	0.0351660983062128	31
Copepoda	st6	3.35436914781804e-06	32
Simulium vittatum	st9	2580.57347769024	1
Orthocladius fridgidus	st9	68.5055719422256	2
Eukiefferiella sp.	st9	66.4200628965285	3
