site_id	date_id	boot_id	n_ind_m
hver	2011-08-02	X1	11992.5
hver	2011-08-02	X2	11992.5
hver	2011-08-02	X3	12571.9
hver	2011-08-02	X4	11868.9
hver	2011-08-02	X5	14324.4
hver	2011-08-02	X6	13137.8
hver	2011-08-02	X7	10838.6
hver	2011-08-02	X8	9975.6
hver	2011-08-02	X9	9601.7
hver	2011-08-02	X10	8372.2
hver	2011-08-02	X11	11106.9
hver	2011-08-02	X12	11890.6
hver	2011-08-02	X13	9913.9
hver	2011-08-02	X14	10730.3
hver	2011-08-02	X15	11969.7
hver	2011-08-02	X16	9641.7
hver	2011-08-02	X17	12445.8
hver	2011-08-02	X18	11796.7
hver	2011-08-02	X19	11036.4
hver	2011-08-02	X20	10946.4
hver	2011-08-02	X21	9610.8
hver	2011-08-02	X22	10849.4
hver	2011-08-02	X23	10780
hver	2011-08-02	X24	11039.4
hver	2011-08-02	X25	10907.8
hver	2011-08-02	X26	10794.7
hver	2011-08-02	X27	10605
hver	2011-08-02	X28	11423.3
hver	2011-08-02	X29	11361.7
hver	2011-08-02	X30	11773.3
hver	2011-08-02	X31	11488.9
hver	2011-08-02	X32	12696.9
hver	2011-08-02	X33	11417.8
hver	2011-08-02	X34	12277.8
hver	2011-08-02	X35	10483.1
hver	2011-08-02	X36	11899.7
hver	2011-08-02	X37	11816.1
hver	2011-08-02	X38	11755.3
hver	2011-08-02	X39	9403.3
hver	2011-08-02	X40	11583.3
hver	2011-08-02	X41	10533.6
hver	2011-08-02	X42	11657.5
hver	2011-08-02	X43	13233.9
hver	2011-08-02	X44	9825.6
hver	2011-08-02	X45	10641.4
hver	2011-08-02	X46	12781.7
hver	2011-08-02	X47	9313.1
hver	2011-08-02	X48	13544.7
hver	2011-08-02	X49	9870.6
hver	2011-08-02	X50	10490.3
hver	2011-08-02	X51	11055
hver	2011-08-02	X52	9428.6
hver	2011-08-02	X53	13333.3
hver	2011-08-02	X54	9801.1
hver	2011-08-02	X55	10156.1
hver	2011-08-02	X56	13053.6
hver	2011-08-02	X57	9140.3
hver	2011-08-02	X58	11535
hver	2011-08-02	X59	10635
hver	2011-08-02	X60	12159.4
hver	2011-08-02	X61	13135.8
hver	2011-08-02	X62	9332.2
hver	2011-08-02	X63	11382.2
hver	2011-08-02	X64	11219.7
hver	2011-08-02	X65	11632.8
hver	2011-08-02	X66	10945
hver	2011-08-02	X67	9645.6
hver	2011-08-02	X68	11074.4
hver	2011-08-02	X69	10584.2
hver	2011-08-02	X70	9878.6
hver	2011-08-02	X71	10690
hver	2011-08-02	X72	10503.9
hver	2011-08-02	X73	11377.5
hver	2011-08-02	X74	11540.8
hver	2011-08-02	X75	10882.8
hver	2011-08-02	X76	10453.3
hver	2011-08-02	X77	10888.1
hver	2011-08-02	X78	10800.6
hver	2011-08-02	X79	11845
hver	2011-08-02	X80	11968.3
hver	2011-08-02	X81	12956.9
hver	2011-08-02	X82	11381.1
hver	2011-08-02	X83	10718.3
hver	2011-08-02	X84	11155.8
hver	2011-08-02	X85	12617.2
hver	2011-08-02	X86	10326.9
hver	2011-08-02	X87	12288.3
hver	2011-08-02	X88	12343.9
hver	2011-08-02	X89	10908.9
hver	2011-08-02	X90	9384.4
hver	2011-08-02	X91	9560.8
hver	2011-08-02	X92	10916.9
hver	2011-08-02	X93	11363.6
hver	2011-08-02	X94	9864.7
hver	2011-08-02	X95	11410
hver	2011-08-02	X96	10666.7
hver	2011-08-02	X97	11044.7
hver	2011-08-02	X98	11858.6
hver	2011-08-02	X99	11733.1
hver	2011-08-02	X100	9999.2
hver	2011-08-02	X101	12168.1
hver	2011-08-02	X102	12602.2
hver	2011-08-02	X103	10061.9
hver	2011-08-02	X104	11865.3
hver	2011-08-02	X105	12500.6
hver	2011-08-02	X106	9913.6
hver	2011-08-02	X107	12308.3
hver	2011-08-02	X108	10794.7
hver	2011-08-02	X109	12797.2
hver	2011-08-02	X110	9531.9
hver	2011-08-02	X111	9783.1
hver	2011-08-02	X112	9878.1
hver	2011-08-02	X113	12626.1
hver	2011-08-02	X114	11340.6
hver	2011-08-02	X115	11250
hver	2011-08-02	X116	12195.8
hver	2011-08-02	X117	11859.7
hver	2011-08-02	X118	11554.4
hver	2011-08-02	X119	10864.2
hver	2011-08-02	X120	12278.9
hver	2011-08-02	X121	11658.1
hver	2011-08-02	X122	10641.4
hver	2011-08-02	X123	13096.9
hver	2011-08-02	X124	9631.7
hver	2011-08-02	X125	10183.9
hver	2011-08-02	X126	11923.9
hver	2011-08-02	X127	12035
hver	2011-08-02	X128	10658.6
hver	2011-08-02	X129	11814.2
hver	2011-08-02	X130	11311.4
hver	2011-08-02	X131	12807.2
hver	2011-08-02	X132	12955
hver	2011-08-02	X133	12883.9
hver	2011-08-02	X134	12623.6
hver	2011-08-02	X135	10872.2
hver	2011-08-02	X136	11125
hver	2011-08-02	X137	11616.1
hver	2011-08-02	X138	10303.3
hver	2011-08-02	X139	10618.9
hver	2011-08-02	X140	10186.9
hver	2011-08-02	X141	9597.5
hver	2011-08-02	X142	10091.4
hver	2011-08-02	X143	10889.2
hver	2011-08-02	X144	9488.3
hver	2011-08-02	X145	11325
hver	2011-08-02	X146	11845
hver	2011-08-02	X147	11145.3
hver	2011-08-02	X148	8551.1
hver	2011-08-02	X149	10770.6
hver	2011-08-02	X150	12420
hver	2011-08-02	X151	9985.6
hver	2011-08-02	X152	13660.8
hver	2011-08-02	X153	11291.9
hver	2011-08-02	X154	12461.9
hver	2011-08-02	X155	11589.7
hver	2011-08-02	X156	12148.3
hver	2011-08-02	X157	11259.2
hver	2011-08-02	X158	10347.8
hver	2011-08-02	X159	10817.5
hver	2011-08-02	X160	12434.2
hver	2011-08-02	X161	10945.3
hver	2011-08-02	X162	10803.9
hver	2011-08-02	X163	12421.4
hver	2011-08-02	X164	12370
hver	2011-08-02	X165	12040.6
hver	2011-08-02	X166	10894.2
hver	2011-08-02	X167	11135.8
hver	2011-08-02	X168	12800.6
hver	2011-08-02	X169	12312.5
hver	2011-08-02	X170	11238.9
hver	2011-08-02	X171	11686.7
hver	2011-08-02	X172	12202.8
hver	2011-08-02	X173	14746.1
hver	2011-08-02	X174	12038.6
hver	2011-08-02	X175	11842.2
hver	2011-08-02	X176	11152.5
hver	2011-08-02	X177	12306.4
hver	2011-08-02	X178	10678.9
hver	2011-08-02	X179	12808.1
hver	2011-08-02	X180	10728.6
hver	2011-08-02	X181	10791.7
hver	2011-08-02	X182	9926.4
hver	2011-08-02	X183	10384.7
hver	2011-08-02	X184	11671.9
hver	2011-08-02	X185	13681.4
hver	2011-08-02	X186	11427.2
hver	2011-08-02	X187	12102.2
hver	2011-08-02	X188	11896.9
hver	2011-08-02	X189	14465.8
hver	2011-08-02	X190	10510.8
hver	2011-08-02	X191	12198.9
hver	2011-08-02	X192	10664.7
hver	2011-08-02	X193	10342.8
hver	2011-08-02	X194	9591.7
hver	2011-08-02	X195	10462.5
hver	2011-08-02	X196	12665.3
hver	2011-08-02	X197	11348.1
hver	2011-08-02	X198	10449.7
hver	2011-08-02	X199	11668.3
hver	2011-08-02	X200	10731.1
hver	2011-08-02	X201	11355.6
hver	2011-08-02	X202	11185.3
hver	2011-08-02	X203	13097.8
hver	2011-08-02	X204	9736.7
hver	2011-08-02	X205	11639.2
hver	2011-08-02	X206	11405.8
hver	2011-08-02	X207	11878.3
hver	2011-08-02	X208	11689.4
hver	2011-08-02	X209	11428.3
hver	2011-08-02	X210	10001.7
hver	2011-08-02	X211	11874.4
hver	2011-08-02	X212	13169.4
hver	2011-08-02	X213	10540.3
hver	2011-08-02	X214	10601.1
hver	2011-08-02	X215	8996.9
hver	2011-08-02	X216	10302.8
hver	2011-08-02	X217	11034.2
hver	2011-08-02	X218	10905.3
hver	2011-08-02	X219	12675
hver	2011-08-02	X220	12271.1
hver	2011-08-02	X221	9389.2
hver	2011-08-02	X222	10158.6
hver	2011-08-02	X223	10332.8
hver	2011-08-02	X224	13281.4
hver	2011-08-02	X225	12350
hver	2011-08-02	X226	8939.2
hver	2011-08-02	X227	9519.4
hver	2011-08-02	X228	12235.8
hver	2011-08-02	X229	10352.5
hver	2011-08-02	X230	10526.7
hver	2011-08-02	X231	11831.1
hver	2011-08-02	X232	11369.7
hver	2011-08-02	X233	11885.3
