site_id	date_id	boot_id	pb_int
hver	2011-08-02	X1	8.32
hver	2011-08-02	X2	5.74
hver	2011-08-02	X3	10.07
hver	2011-08-02	X4	6.57
hver	2011-08-02	X5	7.82
hver	2011-08-02	X6	10.41
hver	2011-08-02	X7	9.66
hver	2011-08-02	X8	5.78
hver	2011-08-02	X9	9.39
hver	2011-08-02	X10	11.71
hver	2011-08-02	X11	7.05
hver	2011-08-02	X12	11.3
hver	2011-08-02	X13	10.43
hver	2011-08-02	X14	12.12
hver	2011-08-02	X15	6.9
hver	2011-08-02	X16	6.45
hver	2011-08-02	X17	7.79
hver	2011-08-02	X18	7.1
hver	2011-08-02	X19	10.2
hver	2011-08-02	X20	6.31
hver	2011-08-02	X21	10.91
hver	2011-08-02	X22	10.81
hver	2011-08-02	X23	10.2
hver	2011-08-02	X24	11.14
hver	2011-08-02	X25	13.14
hver	2011-08-02	X26	8.99
hver	2011-08-02	X27	5.07
hver	2011-08-02	X28	11.02
hver	2011-08-02	X29	5.92
hver	2011-08-02	X30	11.22
hver	2011-08-02	X31	7.85
hver	2011-08-02	X32	5.47
hver	2011-08-02	X33	8.13
hver	2011-08-02	X34	14.3
hver	2011-08-02	X35	7.56
hver	2011-08-02	X36	6.81
hver	2011-08-02	X37	7.1
hver	2011-08-02	X38	11.35
hver	2011-08-02	X39	9.6
hver	2011-08-02	X40	11.14
hver	2011-08-02	X41	8.07
hver	2011-08-02	X42	10.18
hver	2011-08-02	X43	8.21
hver	2011-08-02	X44	8.68
hver	2011-08-02	X45	6.41
hver	2011-08-02	X46	14.01
hver	2011-08-02	X47	16.09
hver	2011-08-02	X48	5.71
hver	2011-08-02	X49	9.93
hver	2011-08-02	X50	7.77
hver	2011-08-02	X51	6.84
hver	2011-08-02	X52	7.79
hver	2011-08-02	X53	8.16
hver	2011-08-02	X54	10.68
hver	2011-08-02	X55	5.74
hver	2011-08-02	X56	6.4
hver	2011-08-02	X57	5.84
hver	2011-08-02	X58	9
hver	2011-08-02	X59	7.82
hver	2011-08-02	X60	10.24
hver	2011-08-02	X61	7.95
hver	2011-08-02	X62	7.77
hver	2011-08-02	X63	12.61
hver	2011-08-02	X64	11.27
hver	2011-08-02	X65	8.62
hver	2011-08-02	X66	6.24
hver	2011-08-02	X67	10.53
hver	2011-08-02	X68	8.02
hver	2011-08-02	X69	8.91
hver	2011-08-02	X70	7.8
hver	2011-08-02	X71	7.27
hver	2011-08-02	X72	12.11
hver	2011-08-02	X73	8.05
hver	2011-08-02	X74	10.93
hver	2011-08-02	X75	5.39
hver	2011-08-02	X76	10.12
hver	2011-08-02	X77	6.65
hver	2011-08-02	X78	9.23
hver	2011-08-02	X79	8.54
hver	2011-08-02	X80	6.38
hver	2011-08-02	X81	8.16
hver	2011-08-02	X82	12.25
hver	2011-08-02	X83	10.44
hver	2011-08-02	X84	8.71
hver	2011-08-02	X85	5.26
hver	2011-08-02	X86	10.39
hver	2011-08-02	X87	9.18
hver	2011-08-02	X88	9.07
hver	2011-08-02	X89	7.63
hver	2011-08-02	X90	9.85
hver	2011-08-02	X91	11.51
hver	2011-08-02	X92	9.71
hver	2011-08-02	X93	10.62
hver	2011-08-02	X94	9.11
hver	2011-08-02	X95	7.08
hver	2011-08-02	X96	6.78
hver	2011-08-02	X97	5.85
hver	2011-08-02	X98	9.77
hver	2011-08-02	X99	11.55
hver	2011-08-02	X100	4.96
hver	2011-08-02	X101	6.34
hver	2011-08-02	X102	7
hver	2011-08-02	X103	4.79
hver	2011-08-02	X104	7.66
hver	2011-08-02	X105	11.78
hver	2011-08-02	X106	6.76
hver	2011-08-02	X107	9.37
hver	2011-08-02	X108	11.64
hver	2011-08-02	X109	9.34
hver	2011-08-02	X110	8.55
hver	2011-08-02	X111	6.73
hver	2011-08-02	X112	9.31
hver	2011-08-02	X113	8.45
hver	2011-08-02	X114	7.41
hver	2011-08-02	X115	8.72
hver	2011-08-02	X116	11.87
hver	2011-08-02	X117	8.9
hver	2011-08-02	X118	9.02
hver	2011-08-02	X119	6.28
hver	2011-08-02	X120	9.64
hver	2011-08-02	X121	11.66
hver	2011-08-02	X122	7.88
hver	2011-08-02	X123	12.01
hver	2011-08-02	X124	7.3
hver	2011-08-02	X125	6.47
hver	2011-08-02	X126	7.82
hver	2011-08-02	X127	10.68
hver	2011-08-02	X128	11.28
hver	2011-08-02	X129	6.54
hver	2011-08-02	X130	9.11
hver	2011-08-02	X131	6.49
hver	2011-08-02	X132	6.81
hver	2011-08-02	X133	8.96
hver	2011-08-02	X134	10.64
hver	2011-08-02	X135	7.55
hver	2011-08-02	X136	10.02
hver	2011-08-02	X137	11.05
hver	2011-08-02	X138	6.1
hver	2011-08-02	X139	13.46
hver	2011-08-02	X140	11.23
hver	2011-08-02	X141	7.73
hver	2011-08-02	X142	6.14
hver	2011-08-02	X143	12.37
hver	2011-08-02	X144	7.78
hver	2011-08-02	X145	9.23
hver	2011-08-02	X146	5.49
hver	2011-08-02	X147	7.78
hver	2011-08-02	X148	6.69
hver	2011-08-02	X149	10.1
hver	2011-08-02	X150	10.67
hver	2011-08-02	X151	11.33
hver	2011-08-02	X152	5.85
hver	2011-08-02	X153	8.92
hver	2011-08-02	X154	8.07
hver	2011-08-02	X155	13.9
hver	2011-08-02	X156	8.09
hver	2011-08-02	X157	7.09
hver	2011-08-02	X158	7.86
hver	2011-08-02	X159	10.05
hver	2011-08-02	X160	5.5
hver	2011-08-02	X161	8.31
hver	2011-08-02	X162	12.1
hver	2011-08-02	X163	8.8
hver	2011-08-02	X164	6.65
hver	2011-08-02	X165	9.33
hver	2011-08-02	X166	8.56
hver	2011-08-02	X167	10.21
hver	2011-08-02	X168	5.8
hver	2011-08-02	X169	7.97
hver	2011-08-02	X170	8.52
hver	2011-08-02	X171	10.28
hver	2011-08-02	X172	8.26
hver	2011-08-02	X173	8.41
hver	2011-08-02	X174	10.92
hver	2011-08-02	X175	6.05
hver	2011-08-02	X176	12.81
hver	2011-08-02	X177	7.51
hver	2011-08-02	X178	10.02
hver	2011-08-02	X179	6
hver	2011-08-02	X180	10.25
hver	2011-08-02	X181	9.37
hver	2011-08-02	X182	6.67
hver	2011-08-02	X183	9.1
hver	2011-08-02	X184	8.77
hver	2011-08-02	X185	10.42
hver	2011-08-02	X186	10.78
hver	2011-08-02	X187	8.52
hver	2011-08-02	X188	9.74
hver	2011-08-02	X189	5.81
hver	2011-08-02	X190	6.29
hver	2011-08-02	X191	11.46
hver	2011-08-02	X192	7.73
hver	2011-08-02	X193	11.33
hver	2011-08-02	X194	7.24
hver	2011-08-02	X195	7.12
hver	2011-08-02	X196	10.9
hver	2011-08-02	X197	13.51
hver	2011-08-02	X198	7.84
hver	2011-08-02	X199	13.39
hver	2011-08-02	X200	6.77
hver	2011-08-02	X201	9.23
hver	2011-08-02	X202	6.59
hver	2011-08-02	X203	9.97
hver	2011-08-02	X204	8.99
hver	2011-08-02	X205	7.67
hver	2011-08-02	X206	8.73
hver	2011-08-02	X207	6.07
hver	2011-08-02	X208	10.72
hver	2011-08-02	X209	6.71
hver	2011-08-02	X210	6.41
hver	2011-08-02	X211	5.89
hver	2011-08-02	X212	6.42
hver	2011-08-02	X213	8.91
hver	2011-08-02	X214	5.91
hver	2011-08-02	X215	10.66
hver	2011-08-02	X216	5.9
hver	2011-08-02	X217	8.59
hver	2011-08-02	X218	8.95
hver	2011-08-02	X219	7.15
hver	2011-08-02	X220	6.34
hver	2011-08-02	X221	6.44
hver	2011-08-02	X222	6.78
hver	2011-08-02	X223	10.41
hver	2011-08-02	X224	8.47
hver	2011-08-02	X225	10.99
hver	2011-08-02	X226	9.06
hver	2011-08-02	X227	9.79
hver	2011-08-02	X228	10.86
hver	2011-08-02	X229	9.73
hver	2011-08-02	X230	10.4
hver	2011-08-02	X231	9.51
hver	2011-08-02	X232	6.51
hver	2011-08-02	X233	6
hver	2011-08-02	X234	7.57
hver	2011-08-02	X235	9.44
hver	2011-08-02	X236	6.75
hver	2011-08-02	X237	16.28
hver	2011-08-02	X238	11.27
hver	2011-08-02	X239	7.87
hver	2011-08-02	X240	7.33
hver	2011-08-02	X241	9.03
hver	2011-08-02	X242	10.16
hver	2011-08-02	X243	10.21
hver	2011-08-02	X244	10.75
hver	2011-08-02	X245	8.2
hver	2011-08-02	X246	6.97
hver	2011-08-02	X247	6.47
hver	2011-08-02	X248	7.82
hver	2011-08-02	X249	10.08
hver	2011-08-02	X250	6.78
hver	2011-08-02	X251	12.03
hver	2011-08-02	X252	7.87
hver	2011-08-02	X253	6.2
hver	2011-08-02	X254	7.45
hver	2011-08-02	X255	5.36
hver	2011-08-02	X256	9.4
hver	2011-08-02	X257	8.74
hver	2011-08-02	X258	8.57
hver	2011-08-02	X259	10.06
hver	2011-08-02	X260	7.67
hver	2011-08-02	X261	8.81
hver	2011-08-02	X262	8.95
hver	2011-08-02	X263	11.34
hver	2011-08-02	X264	9.88
hver	2011-08-02	X265	6.69
hver	2011-08-02	X266	7.77
hver	2011-08-02	X267	5.98
hver	2011-08-02	X268	7.69
hver	2011-08-02	X269	12.27
hver	2011-08-02	X270	8.71
hver	2011-08-02	X271	8.06
hver	2011-08-02	X272	11.27
hver	2011-08-02	X273	8.49
hver	2011-08-02	X274	9.24
hver	2011-08-02	X275	10.28
hver	2011-08-02	X276	6.58
hver	2011-08-02	X277	7.18
hver	2011-08-02	X278	6.94
hver	2011-08-02	X279	8.06
hver	2011-08-02	X280	7.34
hver	2011-08-02	X281	13.41
hver	2011-08-02	X282	10.01
hver	2011-08-02	X283	9.96
hver	2011-08-02	X284	5.81
hver	2011-08-02	X285	7
hver	2011-08-02	X286	5.48
hver	2011-08-02	X287	8.16
hver	2011-08-02	X288	7.59
hver	2011-08-02	X289	5.32
hver	2011-08-02	X290	12.57
hver	2011-08-02	X291	10.43
hver	2011-08-02	X292	5.81
hver	2011-08-02	X293	12.64
hver	2011-08-02	X294	11.27
hver	2011-08-02	X295	8.06
hver	2011-08-02	X296	6.45
hver	2011-08-02	X297	6.61
hver	2011-08-02	X298	10.56
hver	2011-08-02	X299	8.28
hver	2011-08-02	X300	9.42
hver	2011-08-02	X301	10.19
hver	2011-08-02	X302	11.18
hver	2011-08-02	X303	9.68
hver	2011-08-02	X304	13.15
hver	2011-08-02	X305	8.1
hver	2011-08-02	X306	6.1
hver	2011-08-02	X307	5.84
